companies,commentsCount,hitsCount,likes
ast,32.833333333333336,1790.1666666666667,87.5
astel,0.0,17.0,9.0
asteroid,17.333333333333332,2058.814814814815,61.629629629629626
astra,35.51923076923077,2887.8653846153848,77.78846153846153
atas,0.0,34.0,2.0
atlant,13.0,3840.0,20.0
atlantis,23.31,2695.66,208.91
atmosfera,19.5,1798.0,119.0
atomic,58.89684813753582,4085.6389684813753,311.6618911174785
atos,24.5,9402.0,40.0
attl,15.782608695652174,1251.2608695652175,962.0
auriga,31.0,2547.0,30.0
aurus,1.0,23.5,10.0
author.today,5.5,708.1,19.85
avatar,36.71176470588235,4495.423529411764,221.24117647058824
avd,10.333333333333334,987.9166666666666,69.58333333333333
avenue,16.369565217391305,2026.4565217391305,104.8913043478261
aviator,15.0,745.5,47.5
avid,24.0,2917.2,81.0
avilon,0.0,5.666666666666667,10.0
avocado,26.076923076923077,1550.923076923077,42.69230769230769
avrorus,5.0,152.0,0.0
awakened,20.902439024390244,2826.5365853658536,275.780487804878
awg,31.0,2514.5,120.0
axel,12.372093023255815,1183.1627906976744,137.2325581395349
axon,47.375,2451.5,79.375
az,24.345454545454544,2067.258181818182,416.4654545454545
b9,21.8269416072461,2322.910580073232,269.738485257275
background,9.5,1911.1904761904761,67.9047619047619
badoo,14.857142857142858,2223.714285714286,102.71428571428571
bauer,37.333333333333336,4857.0,41.0
baza,201.54545454545453,13232.09090909091,137.0
bcc,3.391304347826087,85.02173913043478,1.6956521739130435
bcg,112.0,5002.333333333333,158.66666666666666
beau,70.14285714285714,6312.0,147.85714285714286
beeper,6.0,1085.75,76.0
beget,19.0,749.5,3.0
begun,8.0,449.0,25.0
beholder,30.167664670658684,2787.3502994011974,273.7544910179641
bella,10.105263157894736,867.1578947368421,137.8421052631579
bercut,102.23469387755102,1193.0204081632653,261.0204081632653
bergen,119.2,7122.8,289.2
beta,28.618243243243242,2291.570945945946,98.29054054054055
betty,11.789473684210526,1679.1052631578948,51.68421052631579
binance,128.66666666666666,4842.333333333333,65.33333333333333
bit,18.32274247491639,1884.5133779264213,187.62876254180603
bit.games,22.857142857142858,2939.1428571428573,15.928571428571429
bitbox,15.823529411764707,4967.64705882353,18.352941176470587
bitter,17.024390243902438,2552.9268292682927,203.4390243902439
bizon,18.833333333333332,2381.8333333333335,13.666666666666666
blackbird,21.50980392156863,2197.274509803922,117.31372549019608
blackbox,3.5,135.0,8.0
blackmagic,11.428571428571429,2169.4285714285716,18.571428571428573
blackwall,36.0,817.0,19.0
blackwood,46.52,3642.04,212.06
bladestorm,18.0,1787.6,218.0
boft,120.0,9524.0,154.0
boner,13.333333333333334,1270.888888888889,140.77777777777777
bookmate,3.2857142857142856,360.07142857142856,16.857142857142858
boomstarter,26.47222222222222,3639.4166666666665,55.22222222222222
bork,0.5,148.5,12.5
borland,41.54545454545455,7196.636363636364,427.40909090909093
bosch,10.6,3643.0,66.4
bothelp,0.0,458.0,0.0
bounds,11.0,2477.0666666666666,156.73333333333332
boxberry,54.8,1565.2,119.4
bp,61.72508591065292,2315.360824742268,258.2061855670103
brainpower,0.0,35.0,1.0
brainstorm,34.333333333333336,6408.166666666667,66.0
bravado,7.5,702.5,13.5
brenda,22.333333333333332,3000.3333333333335,31.666666666666668
brick,28.0,2525.114942528736,210.73563218390805
bright,32.0253164556962,2757.1392405063293,263.30801687763716
broccoli,8.137931034482758,892.0344827586207,188.06896551724137
bsl,20.285714285714285,1195.2857142857142,74.57142857142857
bss,12.833333333333334,3740.6666666666665,425.0
btd,8.333333333333334,267.0,1.6666666666666667
buro,58.5,3842.25,62.0
butler,12.307692307692308,1423.923076923077,45.46153846153846
bytex,26.0,1711.0,36.0
cafemax,10.0,8102.0,31.0
camelot,23.677419354838708,2998.0,51.354838709677416
