,companies,commentsCount,hitsCount,likes
264,diamond,30.26129032258065,4414.906451612903,250.2032258064516
265,dice,40.4622641509434,3383.330188679245,88.38679245283018
266,didi,4.142857142857143,601.8571428571429,22.428571428571423
268,digi,32.81578947368421,3343.894736842105,144.4736842105263
276,dna,5.5,97.0,5.0
277,dns,59.91666666666666,4018.208333333334,307.5
286,duran,14.973684210526313,1961.5263157894735,119.89473684210527
289,ebay,37.151785714285715,3784.169642857143,168.34821428571428
293,edison,32.285714285714285,1953.857142857143,23.0
296,effective,23.857142857142854,2609.428571428572,20.285714285714285
306,elixir,20.2,3341.85,95.5
317,ericsson,35.723076923076924,6749.446153846154,171.84615384615384
318,eset,7.0,108.0,1.0
323,everyone,20.74468085106383,1963.1702127659576,47.04255319148936
324,evo,29.009259259259263,3122.324074074074,48.28703703703704
325,evolution,31.414736842105263,4357.88,254.0315789473684
329,fabrika,4.5,146.5,19.0
342,fibrum,3.9166666666666665,3392.25,9.166666666666666
343,fim,14.615384615384615,7272.6923076923085,22.153846153846153
344,finch,32.08,3118.4061538461538,291.60307692307686
346,fitbit,17.5,606.0,4.75
347,flex,28.55,2504.6,83.9
350,folks,36.52,2249.44,54.12
360,freelance,20.57894736842105,1789.1315789473686,137.1578947368421
364,fsa,5.333333333333333,2269.444444444445,14.0
366,ftg,3.5,655.3,141.9
367,fuel,54.384615384615394,5275.0,190.5769230769231
372,fury,31.257777777777783,3061.1007407407405,215.0385185185185
373,fusion,29.923387096774192,3064.6693548387098,144.98790322580646
380,gallery,30.924242424242426,3870.318181818182,108.03787878787878
383,gameloft,33.7,5042.133333333333,63.64444444444445
386,garage,25.065789473684212,2844.078947368421,65.34210526315789
390,gd,30.201058201058203,2334.5608465608466,167.4973544973545
391,gdo,510.0,21343.0,183.0
393,geeks,44.046875,3023.9375,122.28125
395,generations,31.725,3146.25,50.74166666666667
396,genesis,32.886722376973076,3687.2163416898793,175.50603528319405
398,gett,22.0,797.0,14.5
399,gf,27.851190476190478,2238.6041666666665,233.03869047619045
404,gic,33.75,3988.0,43.0
407,ginger,13.709677419354836,1346.3225806451612,120.22580645161291
411,gloria,10.38,1424.78,175.8
415,gms,89.0,10197.0,68.0
417,google,36.99232456140351,3195.6937656641608,161.3330200501253
423,grammarly,8.333333333333334,379.0,11.0
428,gsa,36.66666666666666,2483.5,27.33333333333333
440,heineken,30.5,24243.5,86.75
442,henkel,9.0,252.0,10.0
444,heroes,35.50673400673401,3645.199074074074,219.10521885521885
449,honeywell,23.33333333333333,2195.0,441.66666666666674
450,honor,38.70720299345182,3376.0280636108514,414.3143124415341
452,hr,26.41666666666667,2685.0,353.2546296296296
456,hudson,26.392523364485978,2746.233644859813,751.3084112149533
460,ibm,8.6,1301.6,44.3
461,ibs,21.0,2604.5,28.5
467,icu,20.33333333333333,1278.6666666666667,89.33333333333331
469,idm,4.5,114.5,6.5
470,ifs,11.5,128.5,7.5
472,ikea,20.761904761904766,2003.904761904762,211.23809523809524
484,intel,53.71979949874687,4110.062656641604,137.09273182957392
