companies,neutral,negative,positive
anex tour,0.7016822756819816,0.17192811870177677,0.01743670635066605
anytime,0.6404338828734206,0.15038387981418758,0.03301247399298684
apple,0.6252595059479387,0.15553903382152834,0.048476676684161474
arzamas,0.5278998239701717,0.17501831256297906,0.11699246604910689
astra linux,0.6509027463694413,0.18348685478437493,0.0299467902320126
atlantis,0.6011713920335934,0.1250839224123021,0.05548133450449877
attl,0.5731125565451235,0.1433036200741237,0.0450327870406183
author.today,0.5933058744930959,0.1250613792928941,0.0791021945302958
autodesk,0.5870169881832782,0.16375419625114956,0.058492061596177626
avenue,0.5890133179255972,0.16858325529404733,0.0385857578532808
avid,0.5784927514954828,0.20033307324442712,0.028333121910803175
awg,0.5111987565512583,0.1722304284250973,0.07477538608010177
axel,0.6604563336932298,0.1452491661207045,0.04110894706514145
axon,0.6716104670428844,0.16729935704265475,0.02265351694036932
b9,0.5887525850945895,0.172807068860095,0.05479841056799281
babo,0.6610359758756286,0.1713858788197218,0.028127814729991468
background,0.6164934264018265,0.17845850402240546,0.039646229129372164
badoo,0.6571312330512512,0.1359080746190654,0.028912776563954044
baza,0.5908950315046074,0.19833285934467243,0.04057778083392742
bbc,0.5992311857386386,0.1677994185159932,0.06761825219304579
bcc,0.6350774896728815,0.19168456984457635,0.045281105963518364
bcg,0.6224401485320014,0.17561957560403316,0.01424475919333049
beau,0.5891741303113205,0.17184214550017546,0.0439125654044222
beeline,0.6216149591206654,0.17633286296496037,0.03685132292097094
begun,0.558200873916921,0.12276504069107033,0.0702235562564172
better than,0.6144247075424989,0.09648280015621324,0.09542697611074125
betting insider,0.5415751010244026,0.22720217877400864,0.05666996708083327
betty,0.5873695130939353,0.14461418182676744,0.06587368379870495
bi.zone,0.6254772084188355,0.1800363580427129,0.027418005688757123
billa,0.516453519075228,0.2018309824082766,0.0578666854310808
binance,0.636024172402924,0.13546858603801096,0.0480558369497031
biogen,0.6954213231801987,0.1420006903612779,0.0197278261184692
black star,0.5954872874936862,0.17273985427514074,0.03804534896926041
blizzard,0.6074259091689644,0.1749449899969816,0.052788218872121484
bloomberg,0.6205328087495027,0.17645295382821208,0.03579037098833762
bloomie,0.0,0.0,0.0
boeing,0.6038494363404167,0.17315298339130714,0.05067817379425136
