companies,neutral,negative,positive
asd,0.4616214453731433,0.1011577027315034,0.028919385948983748
aska,0.4542560404216921,0.1413436246540833,0.1411998217573037
asp,0.45904504603395474,0.10230222109016619,0.04337853072132025
ast,0.31519344007880684,0.14479924514150552,0.05720061220637692
astel,0.0,0.0,0.0
asteroid,0.29865066258663453,0.0696176785536997,0.05785834136959
astra,0.34931892440356066,0.10807938797832062,0.06489875854198254
atas,0.0,0.0,0.0
atlant,0.6602284957965215,0.1507905684411525,0.0
atlantis,0.19903118240079526,0.04973557064927136,0.03797676535480374
atmosfera,0.1785337083479937,0.05580205316929255,0.0809702232808751
atomic,0.2639716064390292,0.06683506219868436,0.027867380738216124
atos,0.5737998396158218,0.13540627613110695,0.0424255163719256
attl,0.020748792156201824,0.010117649738893748,0.0013922061338225349
auriga,0.3777821153402328,0.1388758475581805,0.1028584068020184
aurus,0.3260735496878624,0.085542369633913,0.0
author.today,0.2854391238654282,0.07855968732944352,0.033784793044335897
avatar,0.2280829800108972,0.0602945631504056,0.028007199141508517
avd,0.19932431159333222,0.0273572524340837,0.03445757117077131
avenue,0.18616662973172068,0.04513073958678946,0.024061133219101197
aviator,0.3081279282591173,0.0716512566764972,0.01058060250111985
avid,0.5000445610717266,0.10595430034478256,0.054119756954427625
avilon,0.0,0.0,0.0
avocado,0.2201230878225409,0.047940906328941095,0.03296926643303171
avrorus,0.0,0.0,0.0
awakened,0.22543554424614012,0.06226458377714261,0.026616586186454873
awg,0.5982214006614852,0.1055550222265553,0.0909687271480077
axel,0.104583317474869,0.026365471887395214,0.01556717629415051
axon,0.23886214633880354,0.05855908641054013,0.019721467250927095
az,0.2207409720306161,0.057384024652339966,0.03384514509108042
b9,0.23923660257898613,0.061468488777268085,0.037655856063749875
background,0.21452233458007225,0.04813291823229065,0.01775201656480286
badoo,0.14238165977057263,0.022961226220428715,0.046824360895862956
bauer,0.19849943753920105,0.05863589356865797,0.0099635094473661
baza,0.274997748574404,0.09687529847820288,0.0156476685971207
bcc,0.07449733620203065,0.022469068165443477,0.012363190411364881
bcg,0.4320326228287182,0.0618616948996843,0.05719398806813943
beau,0.49976796715309607,0.10178885925097357,0.04962282752609774
beeper,0.31772292088717224,0.04998094050006328,0.03245733410003593
beget,0.6873262896542511,0.10812556949825924,0.03544317972328925
begun,0.4221929870545864,0.2182595925405621,0.0703428797423839
beholder,0.1813536421846186,0.04327735375718877,0.022391450049423556
bella,0.16567885504820548,0.025962423349767658,0.024193836885909006
bercut,0.235379653467957,0.01376661595594928,0.014865442150165201
bergen,0.11008178651684061,0.04849331105581734,0.0049841222394044395
beta,0.2954094338075564,0.07835661561701975,0.026809250260092798
betty,0.31153522305852466,0.07289425646569558,0.05844751645478163
binance,0.6433889495667635,0.1682415218542367,0.033029957846708535
bit,0.3055313831944369,0.07476126205404375,0.03935601786867873
bit.games,0.124474225467851,0.03517526704942199,0.006529656723433479
bitbox,0.03620890656915995,0.013247196625800154,0.0017926586766588177
bitter,0.21437320258041975,0.05355822536625198,0.062305941150731764
bizon,0.4520206659264463,0.08492110845852603,0.1835904399876274
blackbird,0.25347432104517503,0.0667682429046296,0.03672492494495074
blackbox,0.31235988651003155,0.05728900539023535,0.0166940263339451
blackmagic,0.22816059633687163,0.05706168680774921,0.020147788382711855
blackwall,0.5721987673351842,0.1736755794094454,0.0295669287443161
blackwood,0.2246487171619362,0.06539276703159659,0.017342844470732473
bladestorm,0.11348872241679202,0.01836748541740888,0.023905522384670343
boft,0.5928497004920874,0.1587356242678474,0.0547298186466219
boner,0.11480119027315622,0.03226080578868012,0.021127123375530948
bookmate,0.2073873894942271,0.02925450419523305,0.006121354346925558
boomstarter,0.17649649155345373,0.037350077035699536,0.018895232390007434
bork,0.14711248874664304,0.33959436416625977,0.0
borland,0.1045746725179605,0.029304541544294717,0.009876765037727936
bosch,0.1772188388183713,0.02775740352692082,0.12156434362754225
bothelp,0.0,0.0,0.0
bounds,0.22451271983405324,0.0536397634417611,0.025965147526700136
boxberry,0.3565190207935963,0.06927060052777208,0.03301803561352396
bp,0.2557789161272012,0.046788531067847715,0.023287295053338944
brainpower,0.4523302614688874,0.0,0.0
brainstorm,0.474250645667089,0.09704342563005634,0.09095941617005447
bravado,0.7416630196902487,0.11853522931536034,0.0017307681135005
brenda,0.19925911769722449,0.038191229932838,0.0223809971351816
brick,0.18769694210323518,0.042133643523913245,0.04605225847610124
bright,0.23991336672707192,0.05803961270623205,0.029783298813823654
broccoli,0.1574594790028903,0.026365291571805272,0.013165622509334396
bsl,0.1459458146889077,0.06010511355928474,0.012720607440527058
bss,0.09902342323746,0.03351116429531387,0.009645365941382584
btd,0.3338223877052466,0.2831043970460693,0.0084022515763839
buro,0.420842420807391,0.12400435248064023,0.02867913977949725
butler,0.2636940371978665,0.05264836986339721,0.03475408642172597
bytex,0.6107518367077175,0.1181921742758468,0.130605432548021
cafemax,0.34380031414330003,0.0803640091093257,0.02161011695861815
camelot,0.3601637121696497,0.09275936068547032,0.03490484907645035
canon,0.34998511191521686,0.0774536335502215,0.03882314196296264
capitalist,0.3134159984346348,0.08928394262457046,0.025150608603791254
caravan,0.28857591020842444,0.06855336432530806,0.032041672024797706
catchers,0.3625965086791826,0.09394706853468346,0.061032666595949615
