companies,neutral,negative,positive
tele2,0.6884258077694819,0.1344204066012305,0.0471054575764215
tiktok,0.6331640907945913,0.16927096663904428,0.04489427923587533
timeless,0.47888985109394916,0.1579247445128057,0.078757085331225
timepad,0.757458378871282,0.1382980346679687,0.0
tj,0.6079292519194265,0.1490365154761083,0.057945661082620864
uma.tech,1.0000100135803225,0.0,0.0
uniqlo,0.5961522872075052,0.18667434512161624,0.04751287899554174
versus.legal,0.6042245171019729,0.2228337071416243,0.0403024033499015
vk,0.6171873709605138,0.15077838954125727,0.04690357831396875
waves,0.6610212562362517,0.13822159848221252,0.04100831602597533
welltory,0.0,0.0,0.0
whoosh,0.5710901742021367,0.19918749963260615,0.037406126158393095
winstrike,0.6834230818115641,0.1456704004022326,0.0373186859440196
wise,0.6159161156681486,0.12935458544725065,0.058776511820983354
yandex.cloud,0.6829915150352146,0.1191009604068391,0.0089958284212195
yota,0.6282697552314023,0.15292786517628335,0.04214749172296266
авиасейлс,0.5991462970773379,0.11576917394995685,0.09163778821627296
авито,0.6068336607201361,0.15888722646611372,0.04359689525935306
автоваз,0.7060341667329526,0.15359624702272737,0.014753520267306777
аскона,0.6459469604823325,0.1762926711712175,0.0395851305996378
бланк,0.4812578503759684,0.12039593488633187,0.2524227227265154
вконтакте,0.599679494284995,0.18098365515692455,0.04894751323910618
всегда.да,0.8089552819728851,0.2267625033855438,0.0
втб,0.6238701860667762,0.13313040343630364,0.05042048758995647
газпромбанк,0.5905679308420175,0.2054927932821876,0.04134431272753261
грузовичкоф,0.44589298215277234,0.27780418797838446,0.0072383051015565
делимобиль,0.6614767946139543,0.17260248309302537,0.031001138452887378
домиленд,0.816685152053833,0.0403646439313888,0.0070309683680534
евраз,0.7519522528305198,0.1560981117584037,0.07832694550355275
икра,0.6054794677756937,0.1977043459951221,0.04347763394545018
инвитро,0.5381992951300681,0.2197253294837365,0.03964128158931683
ингосстрах,0.6347049825796575,0.18352514468802408,0.008078994290060716
комитет,0.6044593545084205,0.17656835664069565,0.04713787838839942
контур,0.5826787978098462,0.19445802520282598,0.054933114609948624
крок,0.5733333457642835,0.16410396086345985,0.04548070506641898
лайфхакер,0.635655261857218,0.17975532739612318,0.0288559046938258
логомашина,0.7092279602844819,0.2051906280989035,0.032495088950114964
макс,0.5843746716553235,0.16438749186807813,0.0642156620125959
максимателеком,0.7565160184185166,0.1429892241490926,0.030931643103302865
манго,0.5203426729689299,0.20478589294759464,0.06586849521989707
манифест,0.5907752328440954,0.16529159169632915,0.052768323683020694
мастера,0.5880688142236336,0.15575277636561985,0.0535271282648608
мегаплан,0.7312705367803574,0.1494873613119125,0.0168120192053417
мегафон,0.6274183623755034,0.17601812790292998,0.042667177354260455
медиалогия,0.6021124547819577,0.18142277159415826,0.03703005925984125
модульбанк,0.8098161613473704,0.08849132984827554,0.02337804347276684
мтс,0.6367601315836027,0.1687247667563162,0.027382584826125635
мэйл,0.6316719253133862,0.16453113094327954,0.029856320132346573
одноклассники,0.6204073241350987,0.15905424232683774,0.0492707845007363
пик,0.5647456491781246,0.17418397496671875,0.06971915302795591
поселок,0.6559896862204495,0.13333085799466343,0.0352467766985723
пэк,0.5599235885522582,0.1004491418346085,0.0591776994141665
райффайзенбанк,0.6289446720906405,0.15974714709505541,0.028838415228512822
рбк,0.5392583857219929,0.19745249375885243,0.055972965129924945
ремарк,0.4598712153176712,0.09196433914075673,0.034677352874418366
