companies,neutral,negative,positive
mercaux,0.41870885260545443,0.08668848012951903,0.01682774043255779
metacommerce,0.17367990081022672,0.003613147303611919,0.0011901149812799231
metro,0.36704966530069705,0.0868720099139272,0.030726299659886873
microsoft,0.35205944982036763,0.07076953645316529,0.02829458297892228
mindbox,0.25108451063372816,0.04835404655229513,0.028823472254276297
moab,0.30037412882482306,0.06396716549410311,0.026602589427677785
modelta,0.41100820868599175,0.08407980516999575,0.1034237230006529
modum lab,0.2861028245989175,0.06057716037836891,0.02238681113773955
multiways,0.1810680689489031,0.028438316447575017,0.02115196139174471
ngenix,0.2704714189618181,0.03696830461035558,0.002118600750124291
nimax,0.3536940872534485,0.06593595644586601,0.041886777868586654
noomeera,0.9561812579631804,0.0151122938841581,0.0
notamedia,0.32170762991401736,0.05291696758756989,0.031597757265097406
nta,0.24445855790707866,0.061749910518847116,0.04833332379126636
okko,0.3528233183480584,0.07884558090605501,0.027205240782111905
onesoil,0.7582664713263512,0.1317388862371444,0.1152566969394683
onetwotrip,0.6789011735498993,0.12331894624497743,0.026004003712216752
oohdesk,0.34523440026331176,0.0540661491121293,0.03961127415007234
oskelly,0.692039633160457,0.1527499590380466,0.03718436461097248
osome,0.46654874733211465,0.08423999522644487,0.030121584487141844
out.agency,0.0,0.0,0.0
outlines tech,0.1846033845629011,0.054883960953780564,0.12444808057376318
ovision,0.0,0.0,0.0
ozon,0.2975678164152972,0.07173838274493975,0.01975483711648137
pichesky,0.5016537630939619,0.09923219737255748,0.05351005949999464
pixonic,0.5538273106221211,0.07800826070717931,0.026417935363434307
platforma,0.43116789386046517,0.10054234433634672,0.012094220531231577
players,0.11546674800510921,0.0265566855895608,0.021022690053457978
playgendary,0.38652588079732975,0.03327607630500899,0.03773058996499842
positive technologies,0.3087263674001198,0.06464712164431748,0.02416261157897951
prnews,0.1881629416423746,0.04337941982191898,0.0010441397497316335
productstar,0.0,0.0,0.0
prospectacy,0.0,0.0,0.0
prosto media,0.9271976053714752,0.0,0.1230802610516548
pyrus,0.27289574819910045,0.057774099918285235,0.03069961754289419
qiwi,0.46725635631667994,0.10221009615093436,0.03215256030421822
qlik,0.3221227868484293,0.06028377073832317,0.02174882912106124
rambler&co,0.5099638490256896,0.09996244679373002,0.031239784445395904
red collar,0.38737756010630686,0.060269142792644524,0.06149402977244804
reima,0.15478002745819489,0.022209245297598094,0.00900143468248602
repina branding,0.172416012388423,0.039118063447058635,0.023511406516110073
revolut,0.35441326411331786,0.07050098258085008,0.02312619196829615
